J,R,S,P,Q
1.0052096475542416,0.4327303683637805,-0.4665660517128622,0.04538178407642623,-0.0030713675289885476
0.5473816620164023,0.37775020298267553,-0.24877788459444686,0.019122073102386186,-0.0028685966043518747
,0.08452424883045605,-0.10515915708319953,-0.03016187765721336,-0.0002669330268828492
0.3379961313624074,0.12541089300780642,-0.11854517812656572,0.10943880520344533,-0.006404506524766874
,-0.07112424738921208,-0.014472105339914719,0.017243216949434412,-0.0019191149607350063
,-0.1333978265150496,-0.006629324240705307,0.0678631053616706,-0.0035876669309824753
0.5503526097201233,0.36076494114025587,-0.230745297821591,0.038316076897072344,-0.0023786315211991437
0.6173140998846145,0.23442248442285468,-0.24184525103875926,0.11973384229118368,-0.008280893101242063
0.9060108775790512,0.4328419665318936,-0.4644831548572961,-0.011684824644196675,-0.0006682711433588777
,-0.07776301174693459,-0.014059281335828386,0.07442553693862539,-0.005822638471524468
0.6423009998342581,0.40834819428498365,-0.2840500404819486,0.03192485147447827,-0.0016927633889988825
0.47728456142627107,0.2818926254941508,-0.14363182943786557,0.11666398084405188,-0.00916838494140612
0.18274563080923872,0.016171458757156684,-0.0827902596509652,0.09764559141984742,-0.0050322260423700535
1.0154847469432275,0.4412280318452778,-0.42487978012247424,0.11547871489828634,-0.008318222852452812
,-0.1499281310483801,-3.5792986947029215e-05,0.11878475964083116,-0.008144640390431985
0.6649781004390529,0.38599739004399963,-0.24579616890900552,0.0949839622135416,-0.004559839445524298
0.7235664496839908,0.3981159483462182,-0.26243540419695127,0.11727198149825517,-0.00911187164519798
0.2062219823383992,0.07078987839297447,-0.06805785955245654,0.09495297256456883,-0.006306221390238211
0.3457782364664224,0.2106958477969944,-0.13021397550052632,0.043198935461534076,-0.0028061348032479374
0.6572465728888769,0.4409755588968197,-0.34762357723378545,-0.0135520502455055,-0.000543264102830343
0.17419898892445426,0.2480063862861973,-0.11820988811108606,-0.009594732680130329,-0.0010173021170378238
0.1269593733546674,0.015535140495169866,-0.05649791176354135,0.047907767381751495,-0.004787927967923398
0.8617388633438886,0.43721547907059344,-0.34076673373884336,0.11018551069533886,-0.006389366858443356
0.32111781204417156,0.13776117433700874,-0.1325938075969596,0.04041351180804493,-0.0018880891743584722
0.9251696764017636,0.4386858845566889,-0.4568915261010834,0.006063434538554489,-0.0014434019417233653
1.0701616434146723,0.4412722028554795,-0.4536698449813109,0.11930819030086529,-0.007702409414802477
0.586449434379744,0.33772766362600287,-0.19689044612492915,0.11370884346051435,-0.00829430578286751
,-0.06520311821807978,-0.02361589216566636,0.07624577546016013,-0.004453268877109608
0.717569498376895,0.41665454042226524,-0.3134118393714864,0.04344319904124196,-0.0032937338708981024
1.0390907963163962,0.44598448992241335,-0.435964953646846,0.11812285101955683,-0.007365793045410978
0.7340514025573786,0.4044570412004601,-0.2680527175104082,0.11632906134505827,-0.007971418948827195
0.8601552256769882,0.4370216485647535,-0.33587297244323056,0.11627118732586465,-0.006958959573391108
0.5761699740169814,0.3829946914901865,-0.24713024354344545,0.034267846414518466,-0.001891705965008604
0.988455912183324,0.4441729608576125,-0.41295067453750733,0.10938639945469433,-0.005827618658851085
0.4934540832679864,0.2896264561787943,-0.15119239736728532,0.11715311781240359,-0.008714317748408125
0.9433334155012578,0.4488065694917314,-0.3799135109270993,0.11897677100967387,-0.008674040150382785
0.8228814833996876,0.4423394537033466,-0.34562681566301756,0.07102561785723777,-0.005098803876942536
0.3157266295127957,0.18828002260351995,-0.12475046781305954,0.03334254212314744,-0.0016197848831601507
0.3248817508916738,0.18160256929706034,-0.14237481913096486,0.019938372982342387,-0.00193224357686464
0.2936771801063866,0.10339888994307098,-0.10833895122745407,0.08350046696143394,-0.0060809637732923945
0.7592798610031194,0.36870680257480204,-0.29134086950376603,0.11681182672903097,-0.008685356891871257
0.35049209893471983,0.1899756563987875,-0.17312242604234546,0.0019624362571332467,-0.0016523528912305205
0.17251876852549358,0.08016350774398559,-0.06238063018744294,0.03578576362244902,-0.0019085473646711301
0.19431639232942186,0.10318437730348393,-0.06137038980043346,0.05010230470910316,-0.0028041723619171644
0.7362954983100555,0.4003633866149445,-0.27049889471794497,0.11577540202233995,-0.009240347087367198
,0.2814119930259858,-0.14319675439785887,-0.03602341836659387,-0.00011584548820318639
,-0.0795560598151697,-0.028630531015764592,0.05121896259233704,-0.0030406417447662207
0.8505200778018136,0.3893283474953729,-0.35385428704556593,0.09430196027992559,-0.005395767366110156
0.030022843862811115,-0.01707219429971686,-0.027903671557483776,0.034342729899673075,-0.0038767700990382068
1.0529989778520454,0.43914976248901244,-0.44539114764913634,0.11749960323624033,-0.007813934860165845
